{SimaPro 9.3.0.3};;;;;;
{methods};;;;;;
{Date: 2/22/2023};;;;;;
{Time: 12:10:37 PM};;;;;;
{Project: 2022_mobilita};;;;;;
{CSV Format version: 9.0.0};;;;;;
{CSV separator: Semicolon};;;;;;
{Decimal separator: .};;;;;;
{Date separator: /};;;;;;
{Short date format: M/d/yyyy};;;;;;
{Export platform IDs: Yes};;;;;;
{Selection: Selection (1)};;;;;;
{Related objects (system descriptions, substances, units, etc.): Yes};;;;;;
{Include sub product stages and processes: No};;;;;;
{Open project: '2022_mobilita'};;;;;;
{Library 'Ecoinvent 3 - allocation, cut-off by classification - system'};;;;;;
{Library 'Ecoinvent 3 - allocation, cut-off by classification - unit'};;;;;;
{Library 'Methods'};;;;;;
;;;;;;
Method;;;;;;
;;;;;;
Name;;;;;;
RSE CLCC e critical CLCC;;;;;;
;;;;;;
Version;;;;;;
Raw;(unspecified);Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore;007439-98-7;1.78E-02;kg;F5409136-FC90-409B-875F-4A493A039929
Raw;(unspecified);Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore;007439-98-7;1.78E-02;kg;974D9E0A-C84E-498A-A02A-C2EC6BA15247
Raw;(unspecified);Molybdenum, 0.11% in sulfide, Mo 0.41% and Cu 0.36% in crude ore;007439-98-7;1.78E-02;kg;D440452D-99E1-4747-BEB5-26242E123483
Raw;(unspecified);Nickel;007440-02-0;6.53E-05;kg;75EDE4E3-1AB5-4C7A-9EA2-F75EC0FE3AA1
Raw;(unspecified);Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore;007440-02-0;6.53E-05;kg;20792BAC-853D-43F2-AA79-A15A7A80961B
Raw;(unspecified);Nickel, 1.13% in sulfides, 0.76% in crude ore;007440-02-0;6.53E-05;kg;F8EF830F-95BF-4CDE-A2BF-F528D8750F95
Raw;(unspecified);Nickel, 1.98% in silicates, 1.04% in crude ore;007440-02-0;6.53E-05;kg;834DD59C-9224-4B01-8BB9-BC64990AC2A3
Raw;(unspecified);Nickel, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore;007440-02-0;6.53E-05;kg;73895ECC-9D76-4279-877F-F4F1C7D38A2F
Raw;(unspecified);Nickel, Ni 2.5E+0%, in mixed ore;007440-02-0;6.53E-05;kg;937A101D-1681-46C5-8ACE-9FF3F593846E
Raw;(unspecified);Nickel, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore;007440-02-0;6.53E-05;kg;189078CD-C8B3-44F3-A827-A2724465FB81
