comm;no_comm;um;comtrade_code;comext_code;usitc_code;ds_code;imf_code;quandl_code;eurostat_code;source;critical
Energy, recovered;;MJ;;;;;;nrg_pc_205;eurostat;no;no
Energy, unspecified;;MJ;;;;;;nrg_pc_205;eurostat;no;no
Acids;;kg;;;;;;;;none;no
Additives;;kg;;;;;;;;none;no
Air;;kg;;;;;;;;none;no
Alloys;;kg;;;;;;;;none;no
Animal matter;;kg;;;;;;;;none;no
Auxiliary materials;;kg;;;;;;;;none;no
Chemical and fertilizer minerals;;ton;;;;;;;;none;no
Degreasing agent;;kg;;;;;;;;none;no
Fish, demersal, in ocean;;kg;;;;;;;;none;no
Fish, pelagic, in ocean;;kg;;;;;;;;none;no
Fish, unspecified, in sea;;ton;;;;;;;;none;no
Forestry;;m2a;;;;;;;;none;no
Gangue;;kg;;;;;;;;none;no
Gangue, bauxite;;kg;;;;;;;;none;no
Gemstones;;kg;;;;;;;;none;no
Hardmaking of forest land;;m2a;;;;;;;;none;no
Inert rock;;kg;;;;;;;;none;no
Littering;;m2;;;;;;;;none;no
Lubricant;;kg;;;;;;;;none;no
Marl;;kg;;;;;;;;none;no
Minerals nec. (incl nitrogen and hydrogen);;ton;;;;;;;;none;no
Natural aggregate;;kg;;;;;;;;none;no
Nitrogen, atmospheric;;kg;;;;;;;;none;no
Obsolete ores;;kg;;;;;;;;none;no
Occupation, agriculture;;m2a;;;;;;;;none;no
Occupation, agriculture, mosaic;;m2a;;;;;;;;none;no
Occupation, annual crop;;m2a;;;;;;;;none;no
Occupation, annual crop, AD;;m2a;;;;;;;;none;no
Occupation, annual crop, AE;;m2a;;;;;;;;none;no
Occupation, annual crop, AF;;m2a;;;;;;;;none;no
Occupation, annual crop, AG;;m2a;;;;;;;;none;no
Occupation, annual crop, AI;;m2a;;;;;;;;none;no
Occupation, annual crop, AL;;m2a;;;;;;;;none;no
Occupation, annual crop, AM;;m2a;;;;;;;;none;no
Occupation, annual crop, AO;;m2a;;;;;;;;none;no
Occupation, annual crop, AQ;;m2a;;;;;;;;none;no
Occupation, annual crop, AR;;m2a;;;;;;;;none;no
Occupation, annual crop, AS;;m2a;;;;;;;;none;no
Occupation, annual crop, AT;;m2a;;;;;;;;none;no
Occupation, annual crop, AU;;m2a;;;;;;;;none;no
Occupation, annual crop, AW;;m2a;;;;;;;;none;no
Occupation, annual crop, AZ;;m2a;;;;;;;;none;no
Occupation, annual crop, BA;;m2a;;;;;;;;none;no
Occupation, annual crop, BB;;m2a;;;;;;;;none;no
Occupation, annual crop, BD;;m2a;;;;;;;;none;no
Occupation, annual crop, BE;;m2a;;;;;;;;none;no
Occupation, annual crop, BF;;m2a;;;;;;;;none;no
Occupation, annual crop, BG;;m2a;;;;;;;;none;no
Occupation, annual crop, BH;;m2a;;;;;;;;none;no
Occupation, annual crop, BI;;m2a;;;;;;;;none;no
Occupation, annual crop, BJ;;m2a;;;;;;;;none;no
Occupation, annual crop, BM;;m2a;;;;;;;;none;no
Occupation, annual crop, BN;;m2a;;;;;;;;none;no
Occupation, annual crop, BO;;m2a;;;;;;;;none;no
Occupation, annual crop, BR;;m2a;;;;;;;;none;no
Occupation, annual crop, BS;;m2a;;;;;;;;none;no
Occupation, annual crop, BT;;m2a;;;;;;;;none;no
Occupation, annual crop, BV;;m2a;;;;;;;;none;no
